384_Plate,ORF,Gene,Description,1536_coord
6L22,YGL043W,DST1,General transcription elongation factor TFIIS; enables RNA polymerase II to read through blocks to elongation by stimulating cleavage of nascent transcripts stalled at transcription arrest sites; maintains RNAPII elongation activity on ribosomal protein genes during conditions of transcriptional stress,02_23_44
5L23,YOR042W,CUE5,"Ubiquitin-binding protein; functions as ubiquitin-Atg8p adaptor in ubiquitin-dependent autophagy; contains CUE domain that binds ubiquitin, which may facilitate intramolecular monoubiquitination; GFP-fusion protein localizes to cytoplasm in punctate pattern; CUE5 has a paralog, DON1, that arose from the whole genome duplication; human TOLLIP is a functional CUE-domain homolog, can complement yeast null mutant, rescuing hypersensitivity of cue5 null mutant cells to Htt-96Q",02_23_45
6L23,YKL043W,PHD1,"Transcriptional activator that enhances pseudohyphal growth; physically interacts with the Tup1-Cyc8 complex and recruits Tup1p to its targets; regulates expression of FLO11, an adhesin required for pseudohyphal filament formation; similar to StuA, an A. nidulans developmental regulator; potential Cdc28p substrate; PHD1 has a paralog, SOK2, that arose from the whole genome duplication",02_23_46
5L24,YJL118W,YJL118W,"Protein of unknown function; may interact with ribosomes, based on co-purification experiments; YJL118W is a non-essential gene; deletion enhances the toxicity of heterologously expressed human alpha-synuclein",02_23_47
6L24,YLR263W,RED1,Protein component of the synaptonemal complex axial elements; involved in chromosome segregation during the first meiotic division; critical for coupling checkpoint signaling to SC formation; promotes interhomolog recombination by phosphorylating Hop1p; also interacts with Mec3p and Ddc1p,02_23_48
7L1,YJR135C,MCM22,Outer kinetochore protein and component of the Ctf3 subcomplex; binds to centromeric DNA in a Ctf19p-dependent manner; involved in chromosome segregation and minichromosome maintenance; orthologous to human centromere constitutive-associated network (CCAN) subunit CENP-K and fission yeast sim4,02_24_01
8L1,YMR102C,YMR102C,"Protein of unknown function; transcription is activated by paralogous transcription factors Yrm1p and Yrr1p along with genes involved in multidrug resistance; mutant shows increased resistance to azoles; not an essential gene; YMR102C has a paralog, DGR2, that arose from the whole genome duplication",02_24_02
7L2,YKR101W,SIR1,"Protein involved in silencing at mating-type loci HML and HMR; recruitment to silent chromatin requires interactions with Orc1p and with Sir4p, through a common Sir1p domain; binds to centromeric chromatin",02_24_03
8L2,YJL010C,NOP9,Essential subunit of U3-containing 90S preribosome; involved in production of 18S rRNA and assembly of small ribosomal subunit; also part of pre-40S ribosome and required for its export into cytoplasm; binds RNA and contains pumilio domain,02_24_04
7L3,YKL035W,UGP1,"UDP-glucose pyrophosphorylase (UGPase); catalyses the reversible formation of UDP-Glc from glucose 1-phosphate and UTP, involved in a wide variety of metabolic pathways, expression modulated by Pho85p through Pho4p; involved in PKA-mediated oxidative stress resistance and long-term survival in stationary phase; UGP1 has a paralog, YHL012W, that arose from the whole genome duplication",02_24_05
8L3,YJL027C,YJL027C,Putative protein of unknown function,02_24_06
7L4,YHR182W,YHR182W,Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery and cytoplasm; relocalizes from bud neck to cytoplasm upon DNA replication stress,02_24_07
8L4,YKL204W,EAP1,"eIF4E-associated protein, competes with eIF4G for binding to eIF4E; accelerates mRNA degradation by promoting decapping, facilitated by interaction with eIF4E; essential for Puf5p mediated repression; associates with Puf5p and Dhh1p; inhibits cap-dependent translation; functions independently of eIF4E to maintain genetic stability; plays a role in cell growth, implicated in the TOR signaling cascade",02_24_08
7L5,Blank,None,#N/A,02_24_09
8L5,Blank,None,#N/A,02_24_10
7L6,YER035W,EDC2,"RNA-binding protein that directly activates mRNA decapping; binds mRNA substrate and enhances activity of decapping proteins Dcp1p and Dcp2p; has a role in translation during heat stress; protein increases in abundance and relocalizes to nucleolus and to nuclear foci upon DNA replication stress; EDC2 has a paralog, EDC1, that arose from the whole genome duplication",02_24_11
8L6,YKR034W,DAL80,"Negative regulator of genes in multiple nitrogen degradation pathways; expression is regulated by nitrogen levels and by Gln3p; member of the GATA-binding family, forms homodimers and heterodimers with Gzf3p; DAL80 has a paralog, GZF3, that arose from the whole genome duplication",02_24_12
7L7,YLR102C,APC9,"Subunit of the Anaphase-Promoting Complex/Cyclosome (APC/C); APC/C is a ubiquitin-protein ligase required for degradation of anaphase inhibitors, including mitotic cyclins, during the metaphase/anaphase transition",02_24_13
8L7,YMR273C,ZDS1,"Protein with a role in regulating Swe1p-dependent polarized growth; involved in maintaining Cdc55p in the cytoplasm where it promotes mitotic entry; involved in mitotic exit through Cdc14p regulation; interacts with silencing proteins at telomeres; has a role in Bcy1p localization; implicated in mRNA nuclear export; ZDS1 has a paralog, ZDS2, that arose from the whole genome duplication",02_24_14
7L8,YGL081W,YGL081W,"Putative protein of unknown function; non-essential gene; interacts genetically with CHS5, a gene involved in chitin biosynthesis",02_24_15
8L8,YBR117C,TKL2,"Transketolase; catalyzes conversion of xylulose-5-phosphate and ribose-5-phosphate to sedoheptulose-7-phosphate and glyceraldehyde-3-phosphate in the pentose phosphate pathway; needed for synthesis of aromatic amino acids; TKL2 has a paralog, TKL1, that arose from the whole genome duplication",02_24_16
7L9,YPR127W,YPR127W,Putative pyridoxine 4-dehydrogenase; differentially expressed during alcoholic fermentation; expression activated by transcription factor YRM1/YOR172W; green fluorescent protein (GFP)-fusion protein localizes to both the cytoplasm and the nucleus,02_24_17
8L9,YCL037C,SRO9,"Cytoplasmic RNA-binding protein; shuttles between nucleus and cytoplasm and is exported from the nucleus in an mRNA export-dependent manner; associates with translating ribosomes; involved in heme regulation of Hap1p as a component of the HMC complex, also involved in the organization of actin filaments; contains a La motif; SRO9 has a paralog, SLF1, that arose from the whole genome duplication",02_24_18
7L10,his3Δ1::SWAT / SWAT-SP,None,#N/A,02_24_19
8L10,his3Δ1::SWAT / SWAT-SP,None,#N/A,02_24_20
7L11,YCR073C,SSK22,"MAP kinase kinase kinase of HOG1 mitogen-activated signaling pathway; functionally redundant with Ssk2p; interacts with and is activated by Ssk1p; phosphorylates Pbs2p; SSK22 has a paralog, SSK2, that arose from the whole genome duplication",02_24_21
8L11,YFR030W,MET10,Subunit alpha of assimilatory sulfite reductase; complex converts sulfite into sulfide,02_24_22
7L12,his3Δ1::GFPdC,None,#N/A,02_24_23
8L12,his3Δ1::GFPdC,None,#N/A,02_24_24
7L13,YDR165W,TRM82,Catalytic subunit of a tRNA methyltransferase complex; Trm8p and Trm82p comprise an enzyme that catalyzes a methyl-transfer from S-adenosyl-l-methionine to the N(7) atom of guanine at position 46 in tRNA; Trm8 lacks catalytic activity if not bound to Trm82p; relocalizes to the cytosol in response to hypoxia; mutation in human ortholog WDR4 causes microcephalic primordial dwarfism,02_24_25
8L13,YMR105W-A,YMR105W-A,Putative protein of unknown function,02_24_26
7L14,YGL242C,YGL242C,Protein of unknown function; N-terminally propionylated in vivo; deletion mutant is viable,02_24_27
8L14,YNL212W,VID27,"Cytoplasmic protein of unknown function; possibly involved in vacuolar protein degradation; not essential for proteasome-dependent degradation of fructose-1,6-bisphosphatase (FBPase); null mutants exhibit normal growth",02_24_28
7L15,YGL243W,TAD1,tRNA-specific adenosine deaminase; deaminates adenosine-37 to inosine in tRNA-Ala,02_24_29
8L15,YKL012W,PRP40,U1 snRNP protein involved in splicing; interacts with the branchpoint-binding protein during the formation of the second commitment complex,02_24_30
7L16,YMR247C,RKR1,"RING domain E3 ubiquitin ligase; involved in ubiquitin-mediated degradation of non-stop proteins and translationally stalled ER membrane proteins; component of ribosome-bound RQC (ribosome quality control) complex; degrades products of mRNAs lacking a termination codon regardless of a poly(A) tail; functional connections to chromatin modification; homolog of mouse Listerin, mutations in which reported to cause neurodegeneration",02_24_31
8L16,YDL239C,ADY3,"Protein required for spore wall formation; thought to mediate assembly of a Don1p-containing structure at the leading edge of the prospore membrane via interaction with spindle pole body components; potentially phosphorylated by Cdc28p; ADY3 has a paralog, CNM67, that arose from the whole genome duplication",02_24_32
7L17,YLR318W,EST2,"Reverse transcriptase subunit of the telomerase holoenzyme; essential for telomerase core catalytic activity, involved in other aspects of telomerase assembly and function; mutations in human homolog are associated with aplastic anemia",02_24_33
8L17,YJR041C,URB2,Protein required for normal metabolism of the rRNA primary transcript; nucleolar protein; proposed to be involved in ribosome biogenesis,02_24_34
7L18,YGR056W,RSC1,"Component of the RSC chromatin remodeling complex; required for expression of mid-late sporulation-specific genes; contains two essential bromodomains, a bromo-adjacent homology (BAH) domain, and an AT hook; RSC1 has a paralog, RSC2, that arose from the whole genome duplication",02_24_35
8L18,YPL126W,NAN1,U3 snoRNP protein; component of the small (ribosomal) subunit (SSU) processosome containing U3 snoRNA; required for the biogenesis of18S rRNA,02_24_36
7L19,YGL197W,MDS3,"Putative component of the TOR regulatory pathway; negative regulator of early meiotic gene expression; required, with Pmd1p, for growth under alkaline conditions; has an N-terminal kelch-like domain; MDS3 has a paralog, PMD1, that arose from the whole genome duplication",02_24_37
8L19,YDL131W,LYS21,"Homocitrate synthase isozyme; catalyzes the condensation of acetyl-CoA and alpha-ketoglutarate to form homocitrate, which is the first step in the lysine biosynthesis pathway; LYS21 has a paralog, LYS20, that arose from the whole genome duplication",02_24_38
7L20,YMR261C,TPS3,"Regulatory subunit of trehalose-6-phosphate synthase/phosphatase; involved in synthesis of storage carbohydrate trehalose; expression is induced by stress conditions and repressed by the Ras-cAMP pathway; TPS3 has a paralog, TSL1, that arose from the whole genome duplication",02_24_39
8L20,YGR246C,BRF1,"TFIIIB B-related factor; one of three subunits of RNA polymerase III transcription initiation factor TFIIIB, binds TFIIIC and TBP and recruits RNA pol III to promoters, amino-terminal half is homologous to TFIIB; mutations in human homolog are associated with autosomal recessive cerebellar-facial-dental syndrome",02_24_40
7L21,YGR111W,YGR111W,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to both the cytoplasm and the nucleus,02_24_41
8L21,YDR210W,YDR210W,Predicted tail-anchored plasma membrane protein; contains a conserved CYSTM module; related proteins in other organisms may be involved in response to stress; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery,02_24_42
7L22,YNL218W,MGS1,Protein with DNA-dependent ATPase and ssDNA annealing activities; involved in maintenance of genome; interacts functionally with DNA polymerase delta; homolog of human Werner helicase interacting protein (WHIP); forms nuclear foci upon DNA replication stress,02_24_43
